,coords,col_2,type,nom,dict
918,"[45.0735, 5.21097]","[-0.20244499999999999, -0.979294]",AS,Porte de la Dr&ocirc;me,{'roadname': 'A49'}
919,"[45.0735, 5.21097]","[0.37751799999999996, 0.926002]",AS,Royans-Vercors,{'roadname': 'A49'}
920,"[45.0669, 5.20523]","[0, 1]",EC,La Baume d&apos;Hostun,"{'numero': '8', 'roadname': 'A49'}"
921,"[45.6621, 4.92319]","[0, 1]",BI,Jonction D301/A46,{'roadname': 'A46S'}
922,"[45.7211, 4.9336400000000005]","[0, 1]",EC,Bron aviation,"{'numero': '4', 'roadname': 'A43'}"
923,"[45.7249, 4.92411]","[0, 1]",EC,Porte des Alpes,"{'numero': '3', 'roadname': 'A43'}"
924,"[45.6982, 4.97605]","[-0.766044, 0.642788]",AS,Manissieux,{'roadname': 'A43'}
925,"[45.6982, 4.97605]","[0.766044, -0.642788]",AS,Saint Priest,{'roadname': 'A43'}
926,"[45.731, 4.97848]","[0, 1]",EC,Genas,"{'numero': '8', 'roadname': 'N346'}"
927,"[45.6715, 4.9388000000000005]","[0, 1]",EC,Mions centre,"{'numero': '13', 'roadname': 'A46S'}"
928,"[45.7133, 4.96915]","[0, 1]",EC,St Bonnet de Mure,"{'numero': '10', 'roadname': 'N346'}"
929,"[45.6933, 4.96901]","[0, 1]",EC,St Priest Bel Air,"{'numero': '11', 'roadname': 'A46S'}"
930,"[45.682, 4.96167]","[0, 1]",EC,St Priest centre,"{'numero': '12', 'roadname': 'A46S'}"
931,"[45.7242, 4.97501]","[0, 1]",EC,ZI Mi-plaine,"{'numero': '9', 'roadname': 'N346'}"
932,"[45.703, 4.96616]","[0, 1]",BI,Jonction N346/A43/A46S,{'roadname': 'A43'}
933,"[45.6485, 5.12011]","[0.939693, -0.34202000000000005]",BA,Barri&egrave;re de Saint Quentin Fallavier,{'roadname': 'A43'}
934,"[45.6537, 5.09959]","[0, 1]",EC,L&apos;Isle d&apos;Abeau Chesnes,"{'numero': '5', 'roadname': 'A43'}"
935,"[45.6128, 5.21142]","[-0.9468179999999999, 0.32177]",AS,l&apos;Isle d&apos;Abeau Nord,{'roadname': 'A43'}
936,"[45.6128, 5.21142]","[0.9262, -0.377033]",AS,l&apos;Isle d&apos;Abeau Sud,{'roadname': 'A43'}
937,"[45.6072, 5.23705]","[0, 1]",EC,l&apos;Isle d&apos;Abeau Centre,"{'numero': '7', 'roadname': 'A43'}"
938,"[45.6308, 5.16402]","[0, 1]",EC,Villefontaine,"{'numero': '6', 'roadname': 'A43'}"
939,"[45.6727, 5.05143]","[-0.34202000000000005, -0.939693]",BA,Barri&egrave;re de Saint Exup&eacute;ry,{'roadname': 'A432'}
940,"[45.6881, 5.05941]","[0, 1]",EC,Saint Exup&eacute;ry,"{'numero': '5', 'roadname': 'A432'}"
941,"[45.6932, 5.07768]","[0, 1]",EC,St Laurent de Mure,"{'numero': '4', 'roadname': 'A432'}"
942,"[45.6697, 5.0486]","[0, 1]",BI,Jonction A43/A432,{'roadname': 'A43'}
